Airline_Name,Carrier_Code,Region,Middle_Seat_Blocked,Mandatory_Mask,Temp_Checks,Health_Cert,HEPA_Filters,Extra_Cleaning,Reduced_Onboard,Amenity_Kit,Updated_Boarding,Cabin_Bags_Restricted,Airline_Program_Name,Airline_Program_Webpage
AerolineasArgentinas,AR,Americas,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Ready To Take Care Of You,https://www.aerolineas.com.ar/en-ar/landingsespeciales/landings/778_ready-to-take-care-of-you
AeroMexico,AM,Americas,No,Yes,Yes,No,Yes,Yes,Yes,No,Yes,No,Your Safety Is Our Top Priority ,https://aeromexico.com/en-us/health-and-sanitization-measures
AviancaAirlines,AV,Americas,No,Yes,No,No,Yes,Yes,Yes,No,Yes,No,BioCare,https://www.avianca.com/us/en/experience/avianca-biocare/#biocare
Air Canada,AC,Americas,No,Yes,Yes,No,Yes,Yes,Yes,No,No,No,CleanCare+,https://www.aircanada.com/us/en/aco/home/book/travel-news-and-updates/2020/covid-19.html
Air transat,TS,Americas,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Traveller Care,https://www.airtransat.com/en-CA/Travel-information/Notice-to-Travellers?_ga=2.42436652.826650883.1613513259-896226502.1611682894&_gl=1*cxpvi1*_ga*ODk2MjI2NTAyLjE2MTE2ODI4OTQ.*_ga_TDJLXQBG09*MTYxMzUxMzI1OC4xLjEuMTYxMzUxMzI2MC41OA..
Alaska Airlines,AS,Americas,No,Yes,No,Yes,Yes,Yes,Yes,No,No,No,Next-Level Care,https://www.alaskaair.com/content/advisories/coronavirus
American Airlines,AA,Americas,No,Yes,No,Yes,Yes,Yes,Yes,No,Yes,No,Our Clean Committ,https://www.aa.com/i18n/travel-info/coronavirus-updates.jsp
CopaAirlines,CM,Americas,No,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,COVID-19 Information Hub,https://www.copaair.com/en/web/us/coronavirus-updates
Delta ,DL,Americas,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Delta CareStandard,https://www.delta.com/us/en/travel-planning-center/travel-planning-overview
Frontier ,F9,Americas,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Committed to You,https://www.flyfrontier.com/committed-to-you/
GOL Linhas Aereas,G3,Americas,No,Yes,No,No,Yes,Yes,No,No,No,No,GOL Commitment,https://www.voegol.com.br/en/information/take-care-of-your-health-during-your-trip
Hawaiian Airlines,HA,Americas,No,Yes,No,Yes,Yes,Yes,Yes,No,Yes,No,Keeping You Safe,https://www.hawaiianairlines.com/KeepingYouSafe
jetBlue ,B6,Americas,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Safety from the Ground Up,https://www.jetblue.com/safety
LATAM Airlines,LA,Americas,No,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,Precautions Onboard,https://www.latam.com/en_us/experience/coronavirus/precautions-on-board/
Southwest ,WN,Americas,No,Yes,No,No,Yes,Yes,Yes,No,Yes,No,Southwest Promise,https://www.southwest.com/promise/
Spirit ,NK,Americas,No,Yes,No,Yes,Yes,Yes,No,No,Yes,No,COVID-19 Information Center,https://www.spirit.com/notices
Sun Country Airlines,SY,Americas,No,Yes,No,Yes,Yes,Yes,Yes,No,No,No,Safety Update ,https://www.suncountry.com/safety-updates
United ,UA,Americas,No,Yes,No,No,Yes,Yes,No,No,No,No,CleanPlus,https://www.united.com/ual/en/us/fly/travel/what-to-expect.html
WestJet,WS,Americas,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Safety Above All ,https://www.westjet.com/en-ca/prepare/safety
Air China ,CA,APAC,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Fly with a Peace of Mind,https://www.airchina.hk/HK/GB/promotion/Passengers
Air India,AI,APAC,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,We Care,http://www.airindia.in/We-Care.htm
Air New Zealand,NZ,APAC,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,Safe journey with Air New Zealand,https://www.airnewzealand.com.hk/safe-journey-with-air-new-zealand
All Nippon Airways,NH,APAC,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,ANA Care Promise,https://www.ana.co.jp/en/jp/topics/notice200502/
Asiana Airlines,OZ,APAC,No,Yes,Yes,No,Yes,Yes,Yes,No,No,No,Asiana strives for the day we all fly stress-free together!,https://flyasiana.com/C/US/EN/customer/notice/detail?id=CM202005070001212959
Air Astana ,KC,APAC,No,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,,https://airastana.com/kaz/en-us/Information/Important-Notices/Travel-Safety-Measures-in-the-Time-of-COVID-19
Bangkok Airways,PG,APAC,No,Yes,Yes,Yes,No,Yes,Yes,No,No,No,Travel Safe with Us,https://www.bangkokair.com/eng/Announcement/view/bangkok-airways-enhances-precautionary-measures-and-social-distancing-practices
Cathay Pacific Airlines,CX,APAC,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Fly confidently with Cathay Care,https://www.cathaypacific.com/cx/en_HK/flying-with-us/cathaycare.html
China Airlines,CI,APAC,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,We Treasure Each Encounter,https://www.china-airlines.com/us/en/discover/news/travel-advisory/we-treasure-each-encounter
China Eastern Airlines,MU,APAC,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,China Eastern - Caring More About You,https://hk.ceair.com/newwebsite/hk/prevention/pc/indexEn.html
China Southern Airlines,CZ,APAC,No,Yes,Yes,Yes,No,No,Yes,No,No,No,,https://www.csair.com/en/about/news/news/2020/1dvt9t78qmepm.shtml
Eva Airways,BR,APAC,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,C+ Travel – Safe Travel Plan,https://www.evaair.com/en-global/customer-services/covid-19-information-center/cplus-travel-safe-travel-plan/
Garuda Indonesia ,GA,APAC,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,,https://www.garuda-indonesia.com/hk/en/news-and-events/kebijakan-operasional-terkait-covid19
